key,en,ar,cs,de,es,fi,fr,it,ja,ko,nb,nl,pl,pt,ru,tr,zh
attribute.mii.name,Mii Name,,Mii Jmeno,Mii Name,Nombre de Mii,Miin nimi,Nom du Mii,Nome del Mii,Miiの名前,Mii 이름,,Mii-naam,Imię Mii,Nome do Mii,Имя Mii,Mii Adı,
attribute.mii.creator_name,Creator Name,,Jméno Tvůrce,Ersteller-Name,Nombre de Creador,Tekijän nimi,Nom de l'auteur.rice,Nome dell'autore,作成者の名前,제작자 이름,,Gemaakt door,Imię Twórcy,Nome do Criador,Имя автора,Yapımcı Adı,
attribute.mii.height,Height,,Výška,Größe,Altura,Pituus,Taille,Altezza,高さ,키,,Lengte,Wysokość,Altura,Высота,Boy,
attribute.mii.width,Width,,Šířka,Breite,Ancho,Leveys,Largeur,Larghezza,幅,폭,,Breedte,Szerokość,Largura,Ширина,Genişlik,
attribute.mii.fav_color,Favorite Color,,Oblíbená Barva,Lieblingsfarbe,Color Favorito,Lempiväri,Couleur favorite,Colore preferito,好きな色,좋아하는 색상,,Lievelingskleur,Ulubiony Kolor,Cor Favorita,Любимый цвет,En Sevdiği Renk,
attribute.mii.skin_color,Skin Color,,Barva Pleti,Hautfarbe,Color de Piel,Ihonväri,Couleur de peau,Colore della pelle,肌の色,피부 색,,Huidskleur,Kolor Skóry,Cor da Pele,Цвет кожи,Ten Rengi,
attribute.mii.head_shape,Head Shape,,Tvar Hlavy,Kopfform,Forma de la Cabeza,Pään muoto,Forme du visage,Forma del viso,顔の形,얼굴형,,Hoofdvorm,Kształt Głowy,Formato da Cabeça,Форма лица,Kafa Şekli,
attribute.mii.facial_feature,Facial Feature,,Obličejové Rysy,Gesichtsmerkmale,Rasgo Facial,Kasvojen ominaisuus,Élément facial,Caratteristiche facciali,顔立ち,얼굴 특징,,Gezichtseigenschap,,Características Faciais,Детали лица,Yüz Özelliği,
attribute.mii.irish_color,Eye Color,,Barva Očí,Augenfarbe,Color de los Ojos,Silmien väri,Couleur des yeux,Colore degli occhi,目の色,눈 색상,,Oogkleur,Kolor Oczu,Cor dos olhos,Цвет глаз,Göz Rengi,
attribute.mii.space_between,Spacing in between,,Rozteč Mezi Nimi,Abstand dazwischen,Espacio intermedio,Välitys,Espace entre deux éléments,Spaziatura nel mezzo,間隔,간격,,Tussenruimte,Miejsce Pomiędzy,Espaçamento entre,Пространство между глазами,Arası Boşluk,
attribute.mii.rotation,Rotation (Rotate Left/Right),,Rotace (Vleva/Vprava),Drehen (links/rechts),Rotación (Rotar Izq/Der),Kierto (vasen/oikea),Rotation (Gauche / Droite),Rotazione (Ruota a Sinistra/Destra),回転 (左/右に回転する),회전(반시계/시계 방향),,Rotatie (links/rechts),Obrót (Obróć Lewo/Prawo),Rotação (Rodar Esquerda/Direita),Поворот (влево/вправо),Çevir (Sağa/Sola Çevir),
attribute.mii.eyebrow_type,Eyebrow Type,,Typ Obočí,Augenbrauenform,Tipo de Cejas,Kulmakarvojen tyyli,Type de cils,Tipo di ciglia,眉毛の種類,눈썹 타입,,Wenkbrauw,Rodzaj Brwi,Tipo de Sobrancelhas,Тип бровей,Kaş Tipi,
attribute.mii.mustache_type,Mustache Type,,Typ Kníru,Bartform,Tipo de Bigote,Viiksityyli,Type de moustache,Tipo di baffi,口ひげの種類,콧수염 종류,,Snor,Rodzaj Wąsa,Tipo de Bigode,Тип усов,Bıyık Tipi,
attribute.mii.mustache_vertical_position,Mustache Vertical Position (Up/Down),,Vertikální Poloha Kníru (Nahoru/Dolů),Vertikale Bartposition (hoch/runter),Posición Vertical del Bigote (Arriba/Abajo),Viiksien pystysuuntainen sijainti,Position verticale de la moustache,Posizione verticale dei baffi (Su/Giù),口ひげの縦の位置 (上/下),콧수염 수직 위치(위/아래),,Verticale snorpositie (omhoog/omlaag),Pionowa Pozycja Wąsa (Góra/Dół),Posição Vertical do Bigode (Cima/Baixo),Усы по вертикали (вверх/вниз),Bıyık Dikey Konumu (Yukarı/Aşağı),
attribute.mii.mustache_size,Mustache Size,,Velikost Kníru,Bartgröße,Tamaño del Bigote,Viiksien koko,Taille de la moustache,Grandezza dei baffi,口ひげの大きさ,콧수염 크기,,Snorgrootte,Rozmiar Wąsa,Tamanho de Bigode,Размер усов,Bıyık Büyüklüğü,
attribute.mii.beard_type,Beard Type,,Typ Vousů,Bart-Typ,Tipo de Barba,Partatyyli,Type de barbe,Tipo di barba,ひげの種類,수염 타입,,Baard,Rodzaj Brody,Tipo de Barba,Тип бороды,Sakal Tipi,
attribute.mii.default_name,New Mii,,Nové Mii,Neues Mii,Nuevo Mii,Uusi Mii,John Doe,Nuovo Mii,新しいMii,새로운 Mii,,Nieuwe Mii,Nowy Mii,Novo Mii,Новый Mii,Yeni Mii,
attribute.status,Status,,Status,Status,Estado,Status,Status,Stato,状態,상태,,Status,Status,Estado,Статус,Durum,
attribute.priority,Priority,,Přednost,Priorität,Prioridad,Prioriteetti,Priorité,Priorità,優先度,우선도,,Prioriteit,Priorytet,Prioridade,Приоритет,Öncelik,
attribute.sort_by,Sort by,,Seřadit podle,Sortieren nach,Ordernar por,Järjestä,Trier par,Ordina per,並び替え,정렬,,Sorteren op,Sortuj Według,Organizar por,Отсортировать,Sıralama Tipi,
attribute.total_games_won,Total games won,,Celkem vyhraných her,Gesamte verlorene Rennen,Partidas ganadas,Kisoja voitettu yhteensä,Nombre de courses gagnées,Numero di partite vinte,勝利した総回数,총 승리 횟수,,Totaal gewonnen wedstrijden,Ilość wygranych gier,Total de jogos ganhos,Всего выиграно игр,Toplam kazanılan oyun,
attribute.total_games_played,Total games played,,Celkem zahraných her,Gesamte gewonnene Rennen,Partidas jugadas,Kisoja pelattu yhteensä,Nombre de courses faites,Numero di partite giocate,プレイした総回数,총 플레이 횟수,,Totaal gespeelde wedstrijden,Ilość zagranych gier,Total de jogos jogados,Всего сыграно игр,Toplam oynanan oyun,
attribute.vr_abbreviation,VR,,ZH,RP,,KP,PTS.C,PC,VR,VR,,rp.,OV*,CV,ГР,KP,
attribute.br_abbreviation,BR,,BH,W-Punkte,,TP,PTS.B,PB,BR,BR,,gp.,OB,CB Médio,БР,SP,
attribute.br_full,Battle Rating,,Bitevní Hodnocení,Wettkampf-Rang,,Taistelupisteet,Points Bataille,Punti Battaglia,バトルレーティング,배틀 레이팅,,Gevechtspunten,Ocena Bitewna,Classificação de Batalha,Боевой рейтинг,Savaş Puanı,
attribute.vr_full,Versus Rating,,Závodní Hodnocení,R-Punkte,,Kilpailupisteet,Points Course,Punti Corsa,バーサスレーティング,VS레이팅,,Racepunten,Ocena Versus*,Classificação Versus,Гоночный рейтинг,Karşılaşma Puanı,
attribute.description,Description,,Popis,Beschreibung,Descripción,Kuvaus,Description,Descrizione,説明,설명,,Omschrijving,Opis,Descrição,Описание,Açıklama,
attribute.images,Images,,Obrázky,Bilder,Imágenes,Kuvat,Images,Immagini,画像,이미지,,Afbeeldingen,Obrazy,Imagens,Изображения,Resimler,
attribute.likes,Likes,,Lajky,Likes,Me Gustas,Tykkäykset,J'aimes,Mi Piace,いいね,좋아요,,Vind-ik-leuks,Polubienia,Gostos,Лайки,Beğeniler,
attribute.views,Views,,Zhlédnutí,Aufrufe,Visitas,Näyttökerrat,Vues,Visualizzazioni,閲覧,보기,,Weergaven,Wyświetlenia,Visualizações,Просмотры,Görüntülenme,
attribute.downloads,Downloads,,Stažení,Downloads,Descargas,Lataukset,Téléchargements,Download,ダウンロード,다운로드,,Downloads,Pobrania,Downloads,Загрузки,İndirilenler,
attribute.mii_section.general,General,,Obecný,Allgemein,General,Yleiset,Général,Generale,一般,정보,,Algemeen,Ogólne,Geral,Основное,Genel,
attribute.mii_section.face,Face,,Obličej,Gesicht,Cara,Kasvot,Tête,Faccia,顔,얼굴,,Gezicht,Twarz,Cara,Лицо,Yüz,
attribute.mii_section.hair,Hair,,Vlasy,Haare,Pelo,Hiukset,Cheveux,Capelli,髪,머리카락,,Haar,Włosy,Cabelo,Волосы,Saç,
attribute.mii_section.eyebrows,Eyebrows,,Obočí,Augenbrauen,Cejas,Kulmakarvat,Cils,Ciglia,眉毛,눈썹,,Wenkbrauwen,Brwi,Sobrancelhas,Брови,Kaşlar,
attribute.mii_section.eyes,Eyes,,Oči,Augen,Ojos,Silmät,Oeil,Occhi,目,눈,,Ogen,Oczy,Olhos,Глаза,Gözler,
attribute.mii_section.nose,Nose,,Nos,Nase,Nariz,Nenä,Nez,Naso,鼻,코,,Neus,Nos,Nariz,Нос,Burun,
attribute.mii_section.lips,Lips,,Rty,Lippen,Labios,Huulet,Lèvres,Labbra,口,입술,,Lippen,Usta,Lábios,Губы,Dudaklar,
attribute.mii_section.glasses,Glasses,,Brýle,Brillen,Lentes,Silmälasit,Lunettes,Occhiali,メガネ,안경,,Bril,Okulary,Óculos,Очки,Gözlük,
attribute.mii_section.facial_hair,Facial Hair,,Vousy,Gesichtsbehaarung,Vello Facial,Naamakarvoitus,Pillosité faciale,Peli facciali,ひげ,수염,,Gezichtshaar,Zarost,Pelos Faciais,Усы и борода,Sakal Bıyık,
attribute.mii_section.mole,Mole,,Mateřské Znaménko,Leberfleck,Lunar,Luomi,Grain de beauté,Neo,ホクロ,점,,Moedervlek,Pieprzyk,Verruga,Родинка,Ben,
attribute.gender,Gender,,Pohlaví,Geschlecht,Género,Sukupuoli,Genre,Genere,性別,성별,,Geslacht,Płeć,Género,Пол,Cinsiyet,
attribute.gender_female,Female,,Žena,Weiblich,Mujer,Nainen,Femme,Femmina,女,여성,,Vrouw,Kobieta,Mulher,Мужской,Kadın,
attribute.gender_male,Male,,Muž,Männlich,Hombre,Mies,Homme,Maschio,男,남성,,Man,Mężczyzna,Homem,Женский,Erkek,
state.loading,Loading...,,Načítání...,Lädt...,Cargando...,Ladataan...,Chargement...,Caricando...,ロード中...,로딩 중...,,Laden...,Ładowanie...,A carregar...,Загрузка...,Yükleniyor...,
state.installing,Installing...,,Instalování...,Installiert...,Instalando...,Asennetaan...,Installation...,Installando...,インストール中...,설치 중...,,Installeren...,Instalowanie...,A instalar...,Установка...,Yükleniyor...,
state.updating,Updating...,,Aktualizování...,Aktualisieren...,Actualizando...,Päivitetään...,Mise à jour...,Aggiornando...,アップデート中...,업데이트 중...,,Updaten...,Aktualizowanie...,A atualizar...,Обновляем...,Güncelleniyor...,
state.config_not_finished,Config Not Finished,,Konfigurace Nedokončena,Installation nicht abgeschlossen,Ajustes sin terminar,Määritys kesken,Configuration non terminée,Configurazione non terminata,未設定,설정이 끝나지 않았습니다.,,Config niet voltooid,Konfiguracja nie zakończona,Config Não Terminada,Настройка не завершена,Yapılandırma Tamamlanmadı,
state.no_server,No Server,,Žádný server,Kein Server,No servidor,Ei palvelinta,Aucun Seveurs,Nessun server,サーバーがありません,서버 없음,,Geen server,Brak Serwera,Sem servidor,Нет сервера,Sunucu Yok,
state.unknown,Unknown,,Stav: Neznámý,Unbekannt,Desconocido,Tuntematon,Inconnu,Sconosciuto,不明,불명,,Onbekend,Nieznany,Desconhecido,Неизвестно,Bilinmiyor,
state.error,Error,,Chyba,Fehler,Error,Virhe,Erreur,Errore,エラー,에러,,Fout,Błąd,Erro,Ошибка,Hata,
state.warning,Warning,,Varování,Warnung,Aviso,Varoitus,Avertisemment,Avviso,警告,경고,,Waarschuwing,Ostrzeżenie,Aviso,Внимание,Uyarı,
state.success,Success,,Úspěch,Erfolgreich,Éxito,Onnistui,Succès,Successo,成功,성공,,Succes,Sukces,Sucesso,Успех,Başarı,
state.extracting,Extracting files...,,Extrahování souborů...,Dateien werden extrahiert...,Extrayendo archivos...,Puretaan tiedostoja...,Extraction des fichers...,Estraendo file...,ファイル展開中...,파일 추출중...,,Bestanden uitpakken...,Wyodrębnianie plików...,A extrair ficheiros...,Распаковываем файлы...,Dosyalar Çıkartılıyor...,
state.no_name,No name,,Žádné jméno,Kein Name,Sin nombre,Ei nimeä,Aucun nom,Nessun nome,Player,이름 없음,,Geen naam,Brak Nazwy,Sem nome,Нет имени,Ad yok,
state.no_license,No license,,Žádný účet,Keine Lizenz,Sin licencia,Ei ajokorttia,Aucun Permis,Nessuna patente,ライセンスなし,라이센스 없음,,Geen rijbewijs,Brak Licencji,Sem licença,Нет удостоверения,Lisans yok,
state.no_profiles,No profiles,,Žádné profily,Keine Profile,Sin perfiles,Ei profiileja,Aucun Profil,Nessun profilo,プロフィールなし,프로필 없음,,Geen profielen,Brak Profili,Sem perfil,Нет профилей,Profil yok,
state.custom,Custom,,Vlastní,Benutzerdefiniert,,Mukautettu,Personnalisé,Personalizzato,カスタム,커스텀,,Aangepast,Niestandardowe,Personalizado,Кастом,Özel,
state.installed,Installed,,Instalováno,Installiert,,Asennettu,Installé,Installato,インストール済み,설치 완료,,Geïnstalleerd,Zainstalowane,Instalado,Установлено,Yüklendi,
action.play,Play,,Hrát,Spielen,Jugar,Pelaa,Jouer,Gioca,プレイ,플레이,,Speel,Graj,Jogar,Играть,Oyna,
action.play_offline,Play Offline,,Hrát Offline,Offline spielen,Jugar en línea,Pelaa offline-tilassa,Jouer en Hors-Ligne,Gioca Offline,オフラインでプレイ,오프라인으로 플레이,,Speel offline,Graj Offline,Jogar offline,Играть офлайн,Çevrimdışı Oyna,
action.play_anyway,Play anyway,,,,,,,,,,,,,,,,
action.install,Install,,Nainstalovat,Installieren,Instalar,Asenna,Installer,Installa,インストール,설치,,Installeren,Instaluj,Instalar,Установить,Yükle,
action.update,Update,,Aktualizovat,Aktualisieren,Actualizar,Päivitä,Mettre à Jour,Aggiorna,アップデート,업데이트,,Updaten...,Aktualizuj,Atualizar,Обновить,Güncelle,
action.import,Import,,Importovat,Importieren,Importar,Tuo,Importer,Importa,インポート,불러오기,,Importeren,Importuj,Importar,Импортировать,İçe Aktar,
action.convert_to_patches,Convert to patches,,,,,Muunna paikkauksiksi,,,,,,,Konwertuj na poprawki,Converter para patches,,,
action.enable_all,Enable All,,Zapnout Vše,Alle aktivieren,Activar todo,Ota kaikki käyttöön,Tous Activer,Attiva Tutto,すべて有効,모두 활성화,,Alles inschakelen,Włącz wszystkie,Ativar tudo,Включить все,Hepsini Etkinleştir,
action.disable_all,Disable All,,Vypnout Vše,Alle deaktivieren,Desactivar todo,Poista kaikki,Tous Désactiver,Disattiva Tutto,すべて無効,모두 삭제,,Alles uitschakelen,Wyłącz wszystkie,Desativar tudo,Отключить все,Hepsini Devre Dışı Bırak,
action.rename,Rename,,Přejmenovat,Umbenennen,Renombrar,Nimeä uudelleen,Renommer,Rinomina,名前を変更する,개명,,Hernoemen,Zmień Nazwe,Mudar o nome,Переименовать,Yeniden Adlandır,
action.delete,Delete,,Smazat,Löschen,Borrar,Poista,Supprimer,Cancella,削除,삭제,,Verwijderen,Usuń,Apagar,Удалить,Sil,
action.open_folder,Open Folder,,Otevřít Složku,Ordner öffnen,Abrir folder,Avaa kansio,Ouvrir le dossier,Apri la cartella,フォルダを開く,폴더 열기,,Open map,Otwórz Folder,Abrir pasta,Открыть папку,Klasörü Aç,
action.edit,Edit,,Upravit,Bearbeiten,Editar,Muokkaa,Modifer,Modifica,編集,수정,,Bewerken,Edytuj,Editar,Редактировать,Düzenle,
action.cancel,Cancel,,Zrušit,Beenden,Cancelar,Peruuta,Annuler,Annulla,キャンセル,취소,,Annuleren,Anuluj,Cancelar,Отменить,İptal,
action.save,Save,,Uložit,Speichern,Guardar,Tallenna,Sauvegarder,Salva,保存,저장,,Opslaan,Zapisz,Guardar,Сохранить,Kaydet,
action.copy_friend_code,Copy Friend Code,,Kopírovat Kód Kamaráda,FC kopieren,Copiar clave de amigo,Kopioi kaverikoodi,Copier le Code Ami,Copia il Codice Amico,フレンドコードをコピー,친구 코드 복사,,Vriendcode kopiëren,Kopiuj Kod Przyjaciela,Copiar código de amigo,Скопировать код друга,Arkadaş Kodunu Kopyala,
action.export,Export,,Exportovat,Exportieren,Exportar,Vie,Exporter,Esporta,エクスポート,내보내기,,Exporteren,Eksportuj,Exportar,Экспортировать,Dışa Aktar,
action.apply,Apply,,Použít,Anwenden,Aplicar,Käytä,Appliquer,Applica,適用,적용,,Toepassen,Zastosuj,Aplicar,Применить,Uygula,
action.yes,Yes,,Ano,Ja,Si,Kyllä,Oui,Sì,はい,네,,Ja,Tak,Sim,Да,Evet,
action.no,No,,Ne,Nein,No,Ei,Non,No,いいえ,아니오,,Nee,Nie,Não,Нет,Hayır,
action.keep,Keep,,Nechat,Behalten,Mantener,Säilytä,Garder,Mantieni,維持,유지,,Behouden,Zostaw,Manter,Оставить,Sakla,
action.ok,Ok,,OK,Ok,Ok,Ok,Ok,Ok,OK,OK,,Oké,Okej,Ok,OK,Tamam,
action.revert,Revert,,Vrátit,Rückgängig machen,Deshacer,Palauta,Revenir en arrière,Ripristina,元に戻す,되돌리기,,Ongedaan maken,Przywróć,Reverter,Вернуть,Geri Al,
action.maybe_later,Maybe Later,,Možná Později,Vielleicht später,Talvez después,Myöhemmin,Peut être plus tard,Forse più tardi,また後で,다음번에,,Misschien later,Może Później,Talvez mais tarde,Позже,Belki Daha Sonra,
action.browse,Browse,,Prohlížet,Durchsuchen,Buscar,Selaa,Chercher,Cerca,探す,검색,,Zoeken,Przeglądaj,Procurar,Выбрать,Gözat,
action.view_mod,View Mod,,Zobrazit Mod,Mod ansehen,Mirar Mod,Näytä modi,Détail du Mod,Visualizza,Modを見る,모드 보기,,Bekijk mod,Zobacz Moda,Ver Mod,Просмотреть мод,Modu Görüntüle,
action.save_external_mii,"Add Mii to ""My Miis""",,"Přidat Mii do ""Moje Miiy“","Mii zu ""Meine Miis"" hinzufügen","Añadir Mii a ""Mis Miis""",Lisää Mii omiin Mii-hahmoihin,"Ajouter un Mii dans ""Mes Miis""","Aggiungi Mii a ""I Miei Mii""","Miiを""自分のMii""に追加する","""나만의 Mii""에 Mii 추가하기",,"Voeg Mii toe aan ""Mijn Mii's""","Dodaj Mii do ""Moje Mii""","Adicionar Mii aos ""Meus Miis""","Добавить Mii в раздел ""Мои Mii""","Mii'yi ""Benim Mii'lerim""'e ekle",
action.view_mii,View Mii,,Zobrazit Mii,Mii ansehen,Mirar Mii,Näytä Mii,Voir le Mii,Vedi Mii,Miiを見る,Mii 보기,,Bekijk Mii,Zobacz Mii,Ver Mii,Показать Mii,Mii'yi Görüntüle,
action.duplicate,Duplicate,,Duplikovat,Duplizieren,Duplicar,Monista,Dupliquer,Duplica,コピー,복사,,Dupliceer,Duplikuj,Duplicar,Дублировать,Çoğalt,
action.back,Back,,Zpět,Zurück,Atrás,Takaisin,Retour,Ritorna,戻る,뒤로 가기,,Terug,Wróć,Voltar,Назад,Geri,
action.unfavorite,Unfavorite,,Odebrat z Oblíbených,Entfavorisieren,Quitar de favoritos,Poista suosikeista,Retirer des favoris,Rimuovi dai Favoriti,お気に入り解除,즐겨찾기 해제,,Verwijder uit favorieten,Odulub,Tirar dos favoritos,Убрать из избранного,Favoriyi kaldır,
action.favorite,Favorite,,Dát do Oblíbených,Favorisieren,Hacer favorito,Suosikki,Favoris,Favorito,お気に入り,즐겨찾기,,Voeg toe aan favorieten,Ulubione,Adicionar aos favoritos,Избранное,Favorile,
